순번,주제,용어,설명
740,금융,기초자산(Underlying Asset),‘기초자산(Underlying Asset)이라는 용어는 파생상품 거래에서 자주 등장한다. 파생상품은 금융상품의 일종으로 다른 자산에 의존하여 해당 금융 상품의 가격이 책정되는 것을 말한다. 따라서 기초자산의 상태에 따라 파생상품의 가격이 결정된다.  
774,경영,내부수익률(Internal Rate of Return),Internal Rate of Return의 약자로 줄여서 IRR로도 불린다. 투자를 함으로써 기대되는 미래의 현금 수입액이 현재의 투자가치와 같아지도록 할인하는 이자율을 말한다. 투자사업의 수익성을 평가하는 기본지표로 내부수익률이 이자율보다 높으면 투자의 가치가 있는 것으로 평가된다.
781,금융,내재 가치(Intrinsic Value),"‘내재 가치’는 회사의 유형, 무형의 요소를 모두 고려하여 가치를 산정하였을 때를 가리킨다. 이 가치 산정에 있어서 명확한 기준이 있는 것이 아니고, 투자자의 성향에 따라 그 값이 달라질 수 있기 때문에 주관적인 평가 척도에 해당한다. ‘내재 가치’는 옵션 가격 산정에 있어서 옵션이 ITM(in the money) 상태, 즉 옵션을 행사함으로써 얻게 되는 이익이 플러스로 나타나는 상태에 있다는 표현으로도 사용된다. "
782,금융,"내재 변동성(Implied Volatility, IV)","‘내재 변동성’은 옵션의 가격에 내재되어 있는 기초자산(주식) 가격의 변동성을 말한다. 다수의 옵션으로 부터 구한 내재변동성은 향후 시장의 변동성에 대한 추측치로 사용되기도 한다. 일반적으로 시장이 하락세(bearish)일 때, 즉 대다수의 투자자가 자산 가격이 일정 기간 동안 하락할 것이라고 믿을 때 내재변동성은 상승한다. 반대로 시장이 강세(bullish)에 접어들 것이라는 시장 기대감이 확산되면 내재변동성은 하락한다. 이는 하락장(bearish market)이 상승장(bullish market)보다 더 위험하다는 널리 퍼진 믿음에 기인한다. 내재변동성은 특정한 예측 요소를 바탕으로 주식의 미래 가치 변동을 계량화 하는 방법 중의 하나로 볼 수 있다. "
783,경영,내재가치,"기업의 내재가치는 현재의 순자산액을 나타내는 자산가치와 장래의 수익력을 평가한 수익가치를 포함한 개념이다. 자산가치는 해당 기업의 순자산액을 발행주식 총수로 나누어 계산한다. 여기서 순자산액이란 대차대조표상의 자기자본에서 실질적인 자산성이 없는 이연자산이나 부실자산을 차감한 금액을 의미한다. 수익가치는 기업의 장래 수익력을 현재가치로 평가한 금액을 의미하며 장래의 1주당 추정이익을 이자율로 나누어 계산한다. 
기업의 내재가치는 이들 자산가치와 수익가치를 평균한 금액이다. 내재가치보다 낮은 가격에 주식이 거래되는 경우에는 상대적으로 저평가되어 있으므로 주식을 매입하고, 반대로 내재가치보다 높은 가격에 주식이 거래되는 경우에는 상대적으로 고평가되어 있으므로 주식을 매도하게 된다. 한편, 보험회사의 내재가치(EVㆍEmbedded Value)는 회사가 더 이상 가입자를 받지 않고 지금까지 받은 가입자만으로 영업을 한다고 가정했을 때 기업의 가치를 뜻한다. "
819,과학,녹색금융,"경제활동 전반에 걸쳐 자원 및 에너지 효율을 높이고 환경을 개선하는 상품 및 서비스의 생산에 자금을 제공하여 국가 전체의 성장을 이룰 수 있도록 유도하고, 환경을 파괴하는 활동에 자금이 공급되는 것을 효과적으로 차단하기 위한 자율적인 심사 및 감시체계를 만드는 금융시책이다. 친환경시설에 투자하는 기업이나 하이브리드카를 구입하는 개인에게 세제 혜택을 주는 것처럼 기업과 개인의 생산·소비 활동이 친환경적으로 이루어질 수 있도록 관련 금융상품을 개발하거나, 산림서비스 증진사업이나 숲가꾸기사업처럼 녹색기술과 산업을 통해 일자리를 창출하고 관련 사업이 경쟁력을 갖출 수 있도록 금융을 지원하는 것 등이 녹색금융에 속한다고 볼 수 있다. 녹색펀드, 녹색예금, 녹색채권 등이 대표적인 사례이다."
821,과학,녹색뉴딜,"	저탄소·친환경·자원절약 등을 뜻하는 ‘녹색’ 성장전략에다 일자리 창출을 뜻하는 ‘뉴딜’ 정책을 합한 말이다. 환경위기와 자원위기의 심화에 대비하고 신성장동력을 확보하기 위한 녹색성장전략과 일자리 창출 정책을 융합함으로써, 경제위기를 극복하는 한편 경제를 녹색경제로 이행시킨다는 의미를 가지고 있다. 이 용어는 글로벌 경기침체가 심화되고 있던 2009년 1월 정부가 4대강 살리기, 녹색 교통망 구축 등 36개 녹색뉴딜사업에 2012년까지 총 50조원을 투입해 96만개의 일자리를 창출하겠다며 ‘녹색뉴딜사업 추진방안’을 발표하면서 이슈화됐다.	"
849,금융,다우존스 평균주가지수,"미국의 다우존스사가 뉴욕증권거래소 주요 상장 주식의 주가 평균을 산출하여 매일 발표하는 주가지수로, 1884년 7월 3일에 처음 발표되었다. 공업주 30종, 철도주 20종, 공공주 15종 평균과 65종목 평균이 있는데, 이중 공업주 30종목 평균이 가장 널리 이용되고 있다. 역사가 길고 대기업들이 편입돼 있어 전 세계에서 폭넓게 활용되고 있지만, 상장주 전체의 움직임을 반영하지 않는다는 단점이 있다. 지수 산출은 상장 종목 중 일부를 채택하여 단순 주가 평균을 낸 후, 주식분할, 권리락 등의 변동요인을 제거하는 방법이 사용된다."
850,금융,다우지수,"미국의 다우존스사가 가장 신용있고 안정된 주식 30개를 표본으로 시장가격을 평균산출하는 세계적인 주가지수다. 우량 30개 기업의 주식종목으로 구성하기 때문에 많은 기업들의 가치를 대표할 수 있는지에 대한 의문이 있다. 또한, 시가총액이 아닌 주가평균방식으로 계산되기 때문에 지수가 왜곡될 수 있다는 문제점도 가지고 있다. 하지만 미국의 증권시장의 동향과 시세를 알 수 있는 대표적인 주가지수이기 때문에 많은 나라가 다우지수에 관심을 갖고 또 영향을 받고 있다."
858,금융,단기금리,"우리나라에서 단기금리란 통상 기간이 1년 미만인 금리를 말한다. 금융시장은 거래되는 자금의 성질, 원천, 용도 등에 따라 분할되어 있으며, 각 시장에서 형성되는 금리수준 및 변동양상도 상이하다. 일반적으로 금융시장은 자금의 성질과 수급조건에 따라 일시적 자금 조달 및 운용을 위한 단기금융시장(화폐시장)과 장기자금조달을 위한 장기금융시장(자본시장)으로 나눠지고, 이에 따라 금리도 보통 장기금리와 단기금리로 구분된다. 콜시장의 1일물 금리, 91일물 CD금리 및 CP금리 등은 단기금리의 대표적인 예이며, 이 밖에 단기예금 금리나 단기대부 금리도 단기금리에 포함된다."
859,금융,단리이자,"매월 정기예금에 대한 이자. 반면 복리이자는 이자에 대한 이자도 포함하는데, 예를들어 매월 정기예금에 대한 이자를 지급받지 않고, 만기일에 한꺼번에 받아갈 경우 매월 발생한 이자(단리이자)뿐 아니라 그 이자에 대해 발생한 이자까지 받게된다."
871,금융,담보권 행사(Foreclosure),채무자가 부채 상환 의무를 소홀히 할 시 채권자가 행사할 수 있는 권리로서 채무 계약 시 명시했던 담보물을 압류 및 강제집행 함으로써 부채 상환을 하도록 하는 일종의 법적 절차이다. 
874,금융,당좌거래,"당좌거래는 수표나 어음의 발행에 따라 언제든지 자유롭게 되찾을 수 있는 당좌예금(이러한 당좌예금은 기업들 간의 거래에서 흔히 사용되는데, 입출금이 비교적 자유롭고 일반적으로 이자가 부과되지 않음)을 보유한 기업이 어음이나 수표의 지급업무를 은행에 위임하여 시행하는 것을 말한다. "
875,금융,당좌대출,"은행과 당좌거래를 하고 있는 업체가 일정 한도내에서 발행한 어음이나 수표로 대신 결제하는 것을 말한다. 당좌계정에 돈이 남아 있지 않은 기업이라도 어음이나 수표를 발행할 수 있으며 은행은 이 어음이나 수표를 가진 사람, 기업에게 돈을 지급해준다. 그렇기 때문에 대출을 하는 결과와 같다. 이에 대해 당좌대출을 받은 업체는 발행한 어음이나 수표에 대한 이자를 내야 한다. 이를 당좌대출금리라 한다."
876,금융,당좌비율,"당좌자산의 합계액을 유동부채의 합계액으로 나눈 비율을 표시한 것을 말한다. 여기에서 당좌자산은 현금이나 예금, 유가증권 등 즉시 환금하기 쉬운 자산을 말하며 유동부채는 보통 1년 이내에 상환해야 하는 채무를 말한다. 그렇기 때문에 당좌비율은 단기지급능력 측정의 직접적 지표라 할 수 있다. 따라서 당좌비율은 기업의 지불능력을 보는 척도가 될 수 있으며 경영분석 등에 널리 사용된다. 당좌비율이 100% 이상이 되는 것을 양호한 상태로 평가한다."
877,금융,당좌수표,"법인이나 사업자등록증을 가진 자가 은행에 당좌예금을 개설하고 발행한 수표. 보증수표(자기앞수표)와는 달리 은행이 지급 보증을 하지 않으며 개설된 계좌의 수표자금 범위 내에서 발행되기 때문에 부도처리될 가능성이 있다. 지급기일이 따로 정해져 있지 않기 때문에 바로 사용가능하다. 발행일로 부터 10일 이내에 제시해야하며, 6개월이 지나면 소멸된다."
878,금융,당좌예금,"요구불예금 종류의 하나로, 어음 혹은 수표소지인이 언제든지 찾을 수 있도록 하는 예금이다. 예금을 수시로 인출해야 하는 기업들의 경우, 현금을 보관하거나 인출하기 위해 은행을 찾아가는 번거로움을 줄여주기 때문에 편리하다는 점, 당좌대월 계약을 통해 예금잔고 이상으로 발행한 수표에 대해서도 지불을 받을 수 있는 장점이 있다. 반면 예금을 수취한 은행으로서는 취급에 번거로움이 따르는 것은 물론 자금의 운용도 제약을 받으므로 예금에 대한 이자가 없다. "
887,금융,대손충당금,은행의 대출채권이 회수되지 못할 가능성을 대비해 대출금액의 일정비율을 금융회사의 재무제표에 쌓도록 하는 자산차감(비용) 계정. IFRS(국제회계기준)이 적용되면서 발생손실과 경험치 기준에 따라 대손충당금을 쌓도록 하자 은행들의 충당금 규모는 금감원의 충당금적립비율을 따를 때 보다 적어졌다. 이에 따라 금융당국은 은행들에게 그 차액 수준을 자본차감계정인 대손준비금으로 적립토록 하고 있다.
899,경영,대차대조표 ,"개인의 재산목록표와 같이 일정 시점에서 기업의 재정상태가 어떠한 가를 알기 위해 작성하는 표이다. 기업의 재정상태란 자산은 얼마만큼이고 부채의 규모나 자본 규모는 또한 어떠한가를 말하는 것이다. 이러한 항목을 정리한 것이 대차대조표로서 차변(왼편)에는 모든 자산을 기재하고 대변(오른편)에는 모든 부채와 자본을 기재한다. 대차대조표는 복식부기로서 모든 거래행위는 대차 양변에 기록되므로 언제나 양변의 합계는 일치한다. 즉, 자산=부채+(자기)자본이다. 흔히 신문 등에서 볼 수 있었던 주총결산공고가 바로 대차조표이다. 현재는 2011년 본격적으로 시행된 한국채택 국제회계기준(K-IFRS)의 도입으로 기존의 '대차대조표'는 '재무상태표'로 명칭이 변경되었다."
918,경제,도덕적 해이(Moral Hazard),"쌍방간의 계약이 이루어진 이후 정보의 비대칭성 때문에 서로에 대한 의무를 소홀히 하는 현상. 미국에서 보험가입자들의 부도덕한 행위를 가리키는 말로 사용되기 시작했다. 윤리적으로나 법적으로 자신이 해야 할 최선의 의무를 다하지 않은 행위를 나타내는데, 법 또는 제도적 허점을 이용하거나 자기 책임을 소홀히 하는 행동을 포괄하는 용어로 확대됐다.예를 들어 화재보험에 가입한 경우, 보험회사가 가입자의 주의 소홀 등을 관찰할 수 없어 보험 가입자가 화재예방에 최선을 다하지 않거나 예방 의무를 소홀히 하게 됨에 따라 화재가 발생할 수 있다. 또한, 화재보험 계약자 중에 방화(放火)한 전력자(前歷者)가 있거나 자동차보험 계약자 중에 사고 경력이 많은 자가 있을 경우에는 그 위험성은 더 커질 수 있다. 금융기관의 경우에도 경영불안에 빠진 은행은 자금을 모으기 위해 정상보다 높은 이자를 주고, 이로 인한 지출을 메우기 위해 다시 위험성이 높은 대출상대에게 높은 금리로 융자해 주는 등 악순환이 나타날 수 있다."
935,금융,동시호가,"증권시장에서의 유가증권 매매거래시 동시에 접수된 호가 및 시간의 선후가 분명하지 않은 호가를 말한다. 매매 시간의 시작, 혹은 종료가 임박하여 한꺼번에 주문이 쏟아질 때는 시간의 전후를 하나하나 가릴 수 없다. 일정한 시간대를 정하여 같은 시간에 낸 주문으로 취급하여 가격 우선, 수량 우선의 원칙에 따라 계약을 성립시키는데 이를 동시호가라 한다. 동시호가는 같은 시간에 낸 주문으로 보기 때문에 단일가격을 적용하고, 동시호가로 시가가 결정된 이후부터 복수가격방식을 적용한다."
951,과학,디지털 경제(Digital Economy),"디지털 기술의 혁신적 발전과 더불어 새롭게 창출되는 디지털 상품 및 서비스가 전체 경제에서 차지하는 비중이 커지는 경제를 말한다. 디지털 기술의 발달로 세계적 네트워크를 통해 생산과 소비, 유통의 새로운 질서를 확보하고 시간과 공간을 뛰어넘는 새로운 경제 패러다임으로 확산되고 있다. 또, 한편으로는 기존의 모든 경제활동이 디지털화된 환경에서 이루어지는 것을 의미하기도 한다. 정보기술(IT) 산업의 발달은 정보처리 비용을 낮추고 정보 전달에 한계가 없어짐으로써 경제주체 간 새로운 지식ㆍ기술ㆍ정보ㆍ시장의 급속한 확산과 공유가 가능해지면서 경제활동의 기본 방식도 변화하고 있다. "
957,NULL,디지털화폐,"디지털 방식으로 사용하는 형태의 화폐로, 금전적 가치를 전자적 형태로 저장해 거래할 수 있는 통화를 말한다. 디지털 화폐를 발행하는 목적은 화폐 발행에 따른 비용을 줄이고, 개인·기업 등 경제주체들의 상품거래 지불수단의 편의성을 높이기 위해서다. 디지털화폐에는 전자화폐, 암호화폐, 중앙은행 디지털화폐(CBDC·Central Bank Digital Currency) 등이 포함된다. 하지만 구조적인 측면에서 볼 때, 가상화폐와 디지털화폐는 이들을 관리하는 중앙기관이 있는 반면 암호화폐는 탈중앙화된 블록체인상에서 이뤄진다는 점에서 이들 모두를 디지털화폐 항목에 포함시킬 수 없다는 의견도 있다. "
960,경제,디플레이션,상품들의 가격수준이 전반적으로 그리고 지속적으로 하락하는 현상. 반대말은 물가상승 (inflation)이다. 물가하락은 총수요의 감소 혹은 경제 전반적인 생산비용 감소 때문에 발생한다.
968,금융,랩어카운트(Wrap Account),"증권사 등 금융기관이 투자자의 성향에 맞춰 고객의 돈을 관리해 주는 맞춤형 서비스를 말한다. 투자자들은 전문지식 없이 증권사의 자산관리사가 포트폴리오를 짜고 종목까지 추천하기 때문에 믿고 안전하게 투자할 수 있으며, 증권사 등 금융기관은 예탁금의 일정 비율을 수수료로 받아 이익을 낼 수 있다. 랩어카운트는 일임형과 자문형 두 가지가 있다. 자문형 랩어카운트는 고객의 돈을 받아 투자자문을 하는 수준에 그치나, 일임형 랩어카운트는 증권사가 고객의 성향에 따라 주식이나 채권, 주식형 펀드 등 투자자의 자산 포트폴리오 구성에서 운용까지 모든 자산운용 업무를 대신해 준다. 엄격한 의미의 랩어카운트는 일임형이라고 할 수 있다. 우리나라의 경우 자문형 랩어카운트의 판매는 2001년 2월부터, 일임형 랩어카운트의 판매는 2003년 10월부터 승인되었다."
972,금융,레버리지 ETF,"일반 ETF가 코스피200과 같은 지수 내 대표 주식을 보유함으로써 지수와 비슷한 수익률을 내는 것을 목표로 하는 데 비해 레버리지ETF는 선물 등 파생상품에 투자해 지수보다 높은 수익을 추구하는 ETF다. 상승장에서는 높은 수익률을 기대할 수 있지만 하락장에서는 손실도 커져 고위험ㆍ고수익 상품으로 분류된다. ETF가 추종하고 있는 지수의 등락에 따라 1의 수익이나 손실을 입는다고 한다면, 레버리지 ETF는 파생상품과 차입을 통해 추적지수의 변동폭 보다 몇배의 수익이나 손실을 거두도록 설계된다."
973,경영,레버리지 효과,"타인으로부터 빌린 자본을 지렛대 삼아 자기자본이익률을 높이는 것을 말하며 지렛대 효과라고도 한다. 예를 들어, 10억 원의 자기자본으로 1억 원의 순익을 올렸다고 할 때, 투자자본 전부를 자기자본으로 충당했다면 자기자본이익률은 10%가 되고, 자기자본 5억 원에 타인자본 5억 원을 끌어들여 1억 원의 순익을 올렸다면 자기자본이익률은 20%가 된다. 따라서 차입금 등의 금리 비용보다 높은 수익률이 예상될 때는 타인자본을 적극적으로 끌어들여 투자하는 것이 유리하다. 그러나 과도한 차입금을 사용하는 경우, 금리상승은 부담을 증가시켜 도산위험 및 도산의 기대비용이 높아질 수 있다."
990,금융,롱숏펀드,"주식 운용시 주가의 상승이나 하락과 관계없이 절대수익을 추구하는 펀드이다. 주가가 오를 것으로 예상되는 주식은 사고(long) 주가가 내릴 것으로 예상되는 주식은 미리 빌려서 팔아(short) 수익을 낸다. 전략을 얼마나 잘 쓰는지에 따라 다르지만 주가지수와 상관없이 수익을 내는 중위험, 중수익 펀드이다."
993,금융,롱포지션,롱포지션은 매입포지션이라고도 하며 선물이나 옵션시장에서의 매입을 의미한다. 보통 미래에 더 높은 가격으로 되팔 수 있다는 기대를 가지고 매입하는 시장거래를 뜻한다. ↔쇼트포지션(매도포지션) : 미래에 특정 가격으로 상품을 팔기로 한 계약 또는 주식 공매후 아직 청산되지 못한 경우를 뜻한다.
997,경제,리먼사태 ,"2008년 9월 15일 미국의 투자은행 리먼브러더스 파산에서 시작된 글로벌 금융위기를 칭하는 말. 리먼 파산은 미국 역사상 최대 규모의 기업 파산으로, 파산 보호를 신청할 당시 자산 규모가 6390억달러였다. 리먼 파산은 서브프라임모기지(비우량 주택담보대출)의 후유증으로 우려만 무성했던 미국발 금융위기가 현실화된 상징적인 사건이다. 부동산 가격 하락으로 가치가 떨어지고 있는 금융상품에 대한 과도한 차입과 악성 부실자산으로 촉발된 리먼사태의 영향은 전세계로 급속히 확산됐다. "
999,금융,리보금리(LIBOR),"국제금융시장인 런던에서 우량은행끼리 단기자금을 거래할 때 적용하는 금리를 말한다. 런던은행간금리(London Inter-Bank Offered Rate)의 머리글자를 따서 리보(LIBOR)라 부른다. 국제금융시장의 기준금리로 활용되고 있으며, 금융기관이 외화자금을 들여올 때 기준이 되는 금리이다. 외화차입기관의 신용도에 따라 금리가 달라진다. 특히 런던 금융시장은 유로달러가 국제금융에 커다란 역할을 하고 있어 이 금리는 세계 각국의 금리결정에 주요 기준이 되고 있다. 보통 3개월짜리를 기준으로 세계 금융시장의 상황을 판단할 수 있지만, 장기금리까지 파악하기는 어렵다. 리보금리의 변동은 유로달러의 수급에 큰 영향을 받는다. 여기서 유로달러란 미국 이외의 은행, 주로 유렵의 은행에 예입되어 있는 달러 자금을 말한다. LIBOR는 물론 'Offered Rate'이며, 현지 은행간 거래, 현지은행과 외국 은행간의 거래, 은행과 일반고객간의 거래 등에 적용된다."
1002,경영,리스 ,"사용료를 받고 토지나 설비 등 자산을 일정 기간 빌려 주는 것을 말한다. 리스의 형태는 금융리스(financelease)와 운용리스(operationlease)로 나뉜다. 금융리스는 리스 이용자가 필요로 하는 기계, 설비, 동산 등을 리스제공자(리스회사)가 구입하여 이용자에게 리스하여 주고 리스 기간동안 이용자로부터 리스회사의 구입자금 원금과 금융비용 및 이윤을 전액 회수하는 거래형태다. 운용리스는 금융리스 이외의 리스(렌털포함)를 총칭한다. 자동차, 컴퓨터, 복사기 등 범용성이 높은 물건을 리스회사가 구입해 놓고 일반인을 대상으로 단기간 임대하는 것으로 전형적인 임대차 계약으로, 임대물은 카메라ㆍ타이프라이터ㆍTVㆍ컴퓨터에서 자전거ㆍ자동차ㆍ선박ㆍ비행기등 다양하다. 리스사용자가 일시에 다액의 구입자금을 요하지 않고 언제나 필요할 때 최신의 기계ㆍ설비를 이용할 수 있는 장점이 있다."
1006,금융,리츠(REITS),"Real Estate Investment Trusts의 약자로 부동산투자신탁을 말한다. 소액의 투자자들을 모아 부동산 또는 부동산 관련대출에 투자하여 발생한 수익을 배당으로 지급한다. 부동산개발사업·임대·주택저당채권 등에 투자하여 수익을 올리며 만기는 3년 이상이 대부분이다. 소액으로도 부동산 투자가 가능하여 일반인들도 쉽게 참여할 수 있으며 실물자산인 부동산에 투자하여 가격이 안정적이다. 우리나라의 경우 2001년 4월에 처음 도입되어 규모가 성장세를 보이고 있으며, 임대주택 등 주거환경개선사업에 리츠를 적극 활용하는 추세이다."
1022,경제,마이너스 금리,일부 국가의 중앙은행이 금융 기관이 예치한 지급준비금에 제로(0) 금리보다 낮은 음(-)의 정책 금리를 적용한 것을 말한다. 이는 중앙은행이 금융 기관으로 하여금 적극적으로 자금을 운용하도록 하는 조치로서 2008년 글로벌 금융 위기 이후 비전통적인 통화 정책인 양적 완화와 함께 등장했다. 일부 국가에서는 상업은행들도 예금에 대해 일시적으로 마이너스 금리를 적용하기도 했다. 정책 금리를 마이너스로 유지할 경우 은행의 대출 금리가 하락하고 기업의 투자가 증가할 뿐만 아니라 자국의 통화 가치가 하락하여 순수출이 증가하여 실물 경제가 활성화되는 효과를 기대할 수 있다.
1026,금융,마진콜,"마진 콜(margin call)은 금융시장에서 선물 거래를 중개하는 회사가 당일 결제를 매일 정산하여 선물 가격 변동에 따른 손익을 증거금에 반영하고, 손실액이 일정 수준을 초과하여 유지 증거금이 부족한 경우 증거금을 채워 넣도록 고객에게 요구하는 일이다. 금융시장에서 자기 자금 비율이 투자 이전에 정해 놓은 유지 증거금 비율보다 떨어졌을 때, 자기 자금 비율을 초기 증거금 비율까지 올려야 하는 것을 의미한다."
1032,금융,매매차익 ,"매매차익이란 사고 팔 때의 가격의 차이를 말하는 것으로서 부동산 매매차익, 주식과 같은 유가증권의 매매차익 등이 있다. 매매차익이 관심의 대상이 되는 것은 그 규모가 크냐, 작으냐에도 있지만 매매로 인해 발생한 차익에 대해 세금이 부과되느냐 아니냐에도 있다. 특히 주식이나 채권 같은 유가증권을 사고 팔아 발생하는 매매차익은 보편적인 투자 수단의 매력도를 좌우한다. 직접 주식을 사고 팔거나, 투신사 수익증권이나 뮤추얼펀드 등 간접투자상품에 돈을 예치하거나 해서 생긴 매매차익에 대해서는 세금을 부과하지 않는다. 대주주의 경우는 과세한다. 그 이외에 배당소득이나 이자소득과 같은 나머지 이익에 대해서는 일반 금융상품과 똑같이 소득세가 부과된다. 하지만 간접투자상품에 대해서도 매매차익은 아니지만 거래세, 보유기간 과세 등이 도입되면서 상대적인 수익성은 물론 투자상품으로서의 매력도는 적어졌다."
1034,경제,매몰비용(Sunk Cost),다시 되돌릴 수 없는 비용. 즉 의사결정을 하고 실행을 한 이후에 발생하는 비용 중 회수할 수 없는 비용을 말하며 함몰비용이라고도 한다. 일단 지출하고 나면 회수할 수 없는 기업의 광고비용이나 R&D 비용 등이 이에 속한다. 
1053,금융,메자닌,"메자닌은 건물 1층과 2층 사이에 있는 라운지 공간을 의미하는 이탈리아어로 채권과 주식의 중간 위험 단계에 있는 전환사채(CB)와 신주인수권부사채(BW)에 투자하는 것을 말한다. 주가 상승장에는 주식으로 전환해 자본 이득을 취할 수 있고, 하락장에도 채권이기 때문에 원금보장이 되는 데다 사채 행사가격 조정(리픽싱)에 따른 이득을 챙길 수 있다. 주식과 채권의 성격을 모두 가진 상품이나 주식과 채권에 동시에 투자하는 펀드 등에 이런 이름이 많이 붙는다. 그러나 꼭 주식과 채권의 성격을 모두 가진 상품에만 메자닌이라는 이름이 붙는 것은 아니며 위험의 정도가 중간 정도인 파생금융상품에도 메자닌 이라는 이름을 종종 사용한다."
1058,경제,명목 금리 / 실질 금리,"명목 금리는 화폐 1단위를 일정 기간 동안 빌리는 대가로 지불한 화폐액으로서 이자를 원금으로 나눈 값으로 계산한다. 실질 금리는 인플레이션을 감안하기 위해 명목 금리에서 인플레이션율을 뺀 값으로 이자의 실질 구매력을 나타낸다. 명목 금리와 실질 금리의 관계는 피셔(I. Fisher) 효과에 의해 설명된다. 즉, 명목 금리는 실질 금리와 인플레이션율의 합계로 결정된다는 것이다. 여기에서 인플레이션율은 사람들이 예상하는 인플레이션율로, 실제 인플레이션율과 다를 수도 있다. 만일 어떤 사람이 다른 사람에게 1년간 자금을 빌려준다고 할 때 실질 금리가 2%이고 예상 인플레이션율이 3%라면 명목 금리를 5%로 할 때 서로 만족하며 거래를 하게 된다. 만일 1년 후에 인플레이션율이 예상보다 낮은 2%에 머물게 되면 실질 금리는 3%가 되어 대출자는 이득을 얻고 차입자는 손해를 보게 되는 반면, 인플레이션율이 예상보다 높은 4%로 상승하게 되면 실질 금리는 1%가 되어 대출자는 손해를 보고 차입자는 이득을 얻게 된다."
1066,과학,모바일 뱅킹(Mobile Banking),"인터넷이 가능한 휴대폰을 통해 언제 어디서나 은행의 잔액조회, 계좌이체, 예금조회, 환율조회, 자기앞수표 조회, 거래내역 조회, 신용카드(크레디트카드) 거래, 현금서비스 등 다양한 서비스를 받을 수 있는 금융거래 서비스를 말한다. 우리나라는 2003년부터 시행되고 있다. 보안이 적용되어 안전하게 사용할 수 있다는 점에서 텔레뱅킹과 구분되고, 이동 중에도 사용이 가능하다는 점에서 인터넷 뱅킹과 구분된다. 또 별도의 인증서를 받지 않아도 서비스를 이용할 수 있고, 인터넷 뱅킹 이용자도 원활하게 사용할 수 있다. 이동하면서 은행 업무를 볼 수 있어 인터넷 뱅킹보다 시간을 절약할 수 있고 장소의 제약도 덜 받는다."
1077,금융,무디스 ,"1990년 설립된 미국의 신용평가회사로 영국의 ‘피치(Fitch)’, 미국의 ‘스탠더드 앤드 푸어스(S&P)’와 함께 세계금융시장의 3대 신용평가기관으로 꼽힌다. 신용평가기관으로서 무디스는 세계 각국을 대상으로 채무상환능력을 종합 평가해 국가, 은행 및 채권에 대해 등급을 발표한다. 등급 산정에는 해당 국가 및 은행들의 여러 가지 사항을 고려하게 되는데 크게 대외부문의 안정성과 해당 국가의 대내적 요소들로 나누어 볼 수 있다. 대외적 요소란 외환보유고, 단기외채, 경상수지 등을 말하며, 대내적인 요소들로서는 재정의 안정성, 구조 조정, 정치적 안정성 등을 꼽는다. 대외부문의 안정성은 국제투자자가 해당국에 대한 투자금을 회수할 경우, 필요한 외환보유고가 적정한지가 당연히 고려될 것이며, 단기외채의 양이 특별히 많아서 자금 회수 시 어려움을 겪게 될 가능성은 어느 정도인지, 또한 경상수지는 적정한지 즉, 적자수지가 지속된다면 당연히 외화의 보유량이 감소하기 때문에 어려움을 겪을 것인데 이러한 면에서는 안정적인지 등을 본다는 것이다. 이와 함께 위에서 지적한 대내적 요소들은 대외적으로 발행한 국가채권의 신뢰성을 고려하는 것으로, 해당국 정부의 재정이 안정적인가, 그리고 이를 둘러싸고 있는 전반적인 산업구조나 정책이 일관되게 실행될 수 있는 정치 환경인가 등을 보는 것이다. 무디스는 신용등급을 최고 Aaa부터 Aa1, Aa2, Aa3, A1, A2, A3, Baa1, Baa2, Baa3, Ba1, Ba2, Ba3, B1, B2, B3, Caa1, Caa2, Caa3, Ca, C 순으로 등급을 구분하고 있으며 11번째인 Ba1 등급부터는 투자부적격으로 판단한다. 또한 현 등급에서 상향조정될 가능성이 높으면 '긍정적(positive)', 당분간 그대로 유지될 것 같으면 안정적(stable), 하향조정 될 것으로 보이면 부정적(negative)이라는 표시를 해당 등급 뒤에 붙인다."
1079,금융,무상증자,"	무상증자란 주식대금을 받지 않고 기존의 주식보유자들, 즉 주주에게 주식을 나누어 주는 것을 말한다. 보통 무상증자를 하는 경우는 각종 적립금이나 준비금과 같은 자본항목들 가운데 필요에 따라 자본금으로 전환해 영구적으로 회사 자금으로 만들고 싶은 것이 있을 때 실시한다. 회사가 영업을 통해 남긴 이익금을 주주들에게 주식으로 나누어주는 경우가 여기에 해당한다. 자본금이 늘어나는 유상증자와 달리 무상증자의 경우는 새로 현금이 유입되는 것이 아니라 이익금의 자본전입으로, 단지 회계 장부상 이익금 항목에 있던 금액이 자본금 항목으로 넘어간 것이다. 자본금은 발행주식의 액면총액을 의미하는 것이기 때문에 기존주주들에게 해당금액상당의 주식을 지분에 따라 나누어줌으로써 이러한 회계장부상의 변경이 완료될 수 있는 것이다. 무상증자는 회사의 자산이 감소함에 따라 추가적인 배당압력으로 작용할 수 있기 때문에 채권자들에게 위험 부담이 가중되는 요인이 될 수 있다. 따라서 무상증자를 무한정 허용하여 줄 수 없고, 상장법인의 경우에는 일정한 발행기준을 증권관리위원회의 규정으로 제한하고 있다.	"
